200,1
400,4
600,8
800,14
1000,22
1200,32
1400,42
1600,55
1800,74
2000,85
2200,106
2400,126
2600,145
2800,170
3000,194
3200,220
3400,249
3600,338
3800,316
4000,349
4200,400
4400,410
4600,489
4800,572
5000,632
5200,581
5400,622
5600,670
5800,724
6000,1078
6200,874
6400,973
6600,949
6800,1000
7000,1102
7200,1117
7400,1200
7600,1288
7800,1306
8000,1369
8200,1425
8400,1532
8600,1591
8800,1727
9000,1812
9200,1801
9400,1891
9600,2093
9800,2059
10000,2198
