I10002,61,86,60,62,5
I10013,29,5,55,4,71
I10022,82,97,66,47,92
I10024,13,5,20,31,71
I10025,34,31,6,24,71
I10026,5,4,22,31,95
I10032,56,91,17,81,67
I10037,49,4,89,91,40
I10043,81,58,44,43,85
I10049,42,66,5,42,71
I10055,86,72,38,93,42
I10057,30,96,72,23,72
I10062,74,25,81,85,21
I10063,67,70,66,58,70
I10068,99,80,58,90,66
I10069,32,43,44,4,65
I10070,95,78,63,50,64
I10073,82,89,21,86,87
I10076,13,96,39,9,0
I10078,20,42,91,65,92
I10085,44,0,53,68,83
I10087,58,71,37,59,7
I10089,9,93,90,99,17
I10098,19,14,21,38,4
I10102,35,12,17,40,71
I10103,18,69,25,40,31
I10109,54,20,20,44,0
I10111,40,41,11,99,86
I10115,48,43,52,48,66
I10120,93,100,80,60,41
I10123,63,70,21,63,47
I10125,96,58,68,3,75
I10127,25,43,18,86,55
I10128,45,82,25,28,12
I10136,21,22,37,89,49
I10142,75,23,89,12,56
I10147,13,39,63,0,11
I10149,76,60,59,51,74
I10151,1,5,54,24,39
I10154,99,6,0,82,26
I10157,60,7,67,75,4
I10161,28,64,12,6,1
I10168,55,14,80,15,61
I10170,21,42,69,37,17
I10173,22,83,65,13,24
I10175,6,43,34,24,92
I10188,37,10,85,77,71
I10189,82,54,89,80,63
I10191,42,75,27,48,9
I10192,14,49,76,13,29
I10196,38,48,53,25,62
I10198,97,26,100,92,76
I10200,1,7,79,97,66
I10203,73,95,79,37,8
I10204,19,98,11,36,80
I10208,5,60,27,73,17
I10212,83,47,52,11,59
I10214,86,51,53,10,74
I10216,100,99,3,42,36
I10217,1,84,91,64,90
I10218,40,47,44,89,90
I10225,35,24,96,0,41
I10226,96,2,16,82,95
I10229,26,42,28,86,91
I10231,54,53,68,9,46
I10235,80,100,8,22,7
I10240,21,89,42,4,5
I10242,80,55,49,45,99
I10244,83,97,57,89,43
I10252,23,88,98,82,95
I10253,35,34,2,77,65
I10254,96,53,62,36,28
I10261,3,78,68,27,45
I10269,88,3,57,81,48
I10273,53,100,64,85,89
I10274,49,5,79,83,97
I10277,72,3,19,51,9
I10279,70,10,85,18,77
I10282,16,24,85,83,17
I10287,19,52,30,31,97
I10294,46,9,78,57,82
I10298,86,10,15,92,14
I10306,14,46,25,85,42
I10307,15,69,60,39,89
I10308,83,57,24,59,84
I10310,71,29,14,83,83
I10319,51,64,19,87,87
I10321,19,73,92,59,100
I10324,50,5,60,94,69
I10325,66,96,74,33,6
I10328,66,11,88,100,12
I10329,67,88,64,44,6
I10330,70,46,15,94,9
I10335,85,0,3,11,62
I10337,70,46,38,46,21
I10344,22,92,36,87,69
I10347,98,84,30,76,54
I10350,65,80,36,50,74
I10351,55,28,81,93,8
I10352,97,49,32,81,11
I10356,77,20,91,71,28
I10357,10,87,12,15,22
I10365,89,1,84,47,98
I10367,28,12,31,68,74
I10375,78,84,26,52,21
I10376,59,65,33,75,99
I10378,43,29,32,36,91
I10382,100,92,19,3,36
I10383,83,28,76,11,35
I10385,76,2,10,12,54
I10388,59,27,64,21,42
I10398,47,65,33,52,39
I10399,1,48,23,81,9
I10400,81,87,62,3,71
I10403,59,26,69,40,40
I10406,43,11,93,59,94
I10410,68,55,69,89,41
I10412,40,71,76,37,72
I10415,84,5,67,78,17
I10419,79,93,40,10,51
I10422,69,15,61,95,69
I10428,92,0,37,37,37
I10430,5,44,37,2,38
I10437,10,6,41,23,100
I10439,60,98,60,36,60
I10440,97,82,22,2,96
I10442,41,5,30,6,43
I10465,58,11,95,78,88
I10471,58,50,51,22,14
I10474,12,92,74,31,26
I10475,23,90,82,86,21
I10478,39,71,3,0,7
I10483,88,27,6,43,10
I10484,53,92,25,11,58
I10491,50,90,100,76,49
I10494,79,23,9,30,54
I10500,92,70,38,1,95
I10503,17,26,60,8,28
I10504,62,98,71,88,93
I10506,56,89,18,2,0
I10509,47,36,58,71,22
I10511,22,82,77,80,57
I10515,45,70,66,83,84
I10518,47,71,90,20,83
I10520,65,11,63,2,30
I10525,92,82,86,24,73
I10528,7,3,76,68,91
I10529,7,12,56,60,41
I10530,60,66,100,83,68
I10533,66,26,95,45,3
I10537,28,89,27,0,2
I10548,42,69,12,61,81
I10552,49,73,12,97,35
I10555,44,3,48,32,70
I10557,65,29,58,26,36
I10559,45,90,72,85,6
I10566,87,79,21,76,61
I10568,84,7,13,47,0
I10573,22,77,94,52,55
I10580,53,18,89,23,46
I10585,58,5,65,62,92
I10590,74,41,75,4,69
I10597,76,5,66,31,33
I10600,39,60,46,62,56
I10601,48,24,8,53,0
I10603,43,58,91,78,50
I10607,14,97,78,52,47
I10609,45,89,56,65,60
I10610,55,99,7,10,63
I10614,45,79,10,24,59
I10615,83,88,15,24,26
I10617,0,26,94,47,87
I10620,48,83,66,96,76
I10623,57,43,92,49,47
I10624,66,97,46,11,69
I10625,28,40,87,49,15
I10630,36,18,23,76,92
I10633,44,59,63,59,96
I10634,77,86,20,3,84
I10636,93,72,35,51,43
I10641,24,33,36,74,80
I10643,43,42,63,30,85
I10649,65,54,18,68,58
I10650,25,69,23,27,73
I10653,60,65,10,4,97
I10655,62,2,9,32,6
I10660,21,100,37,31,18
I10664,36,85,52,96,80
I10665,48,20,93,93,79
I10668,67,38,43,63,80
I10672,2,67,90,5,20
I10676,0,19,38,50,60
I10684,91,6,3,96,64
I10688,11,86,81,22,28
I10692,52,99,92,94,14
I10695,58,43,47,2,61
I10700,65,13,51,77,30
I10701,34,57,17,86,1
I10702,4,66,27,27,60
I10703,87,16,38,60,51
I10705,35,89,77,7,42
I10706,53,15,20,24,4
I10707,87,51,60,71,10
I10709,74,36,19,41,10
I10714,82,1,48,8,7
I10717,48,59,50,46,40
I10720,45,18,15,82,51
I10721,42,90,79,59,80
I10731,51,0,32,30,65
I10732,85,43,11,8,34
I10734,40,59,55,22,41
I10735,38,22,80,65,7
I10736,37,58,89,25,31
I10738,23,21,66,4,77
I10739,76,31,2,28,56
I10740,58,73,6,26,8
I10747,74,57,38,93,47
I10748,75,58,60,38,69
I10749,36,37,22,36,0
I10756,19,18,70,34,9
I10758,28,25,46,88,30
I10761,43,70,72,35,20
I10764,44,74,53,64,4
I10767,19,15,59,0,31
I10769,64,3,90,47,53
I10773,28,62,26,39,38
I10775,18,70,62,35,21
I10776,29,60,55,6,78
I10777,77,33,16,51,2
I10783,33,9,68,1,75
I10788,48,62,13,45,54
I10795,13,33,66,21,44
I10796,15,30,10,37,36
I10800,8,8,88,26,58
I10801,47,65,23,54,69
I10807,13,5,69,13,78
I10812,95,66,18,87,39
I10813,71,59,68,29,61
I10814,34,81,90,99,1
I10816,20,10,12,82,81
I10822,54,76,29,31,90
I10823,100,0,37,56,42
I10826,44,57,15,87,12
I10827,98,24,56,46,46
I10830,36,81,50,65,24
I10831,56,61,68,54,91
I10833,60,21,18,0,82
I10837,64,44,72,5,53
I10839,26,88,54,39,74
I10840,88,69,78,82,93
I10846,42,27,96,58,23
I10852,32,55,24,14,71
I10853,46,41,47,40,84
I10856,71,10,50,51,77
I10858,4,99,30,83,36
I10859,30,57,29,99,98
I10861,20,45,0,8,22
I10866,94,28,24,82,56
I10867,1,0,65,40,88
I10868,100,71,30,19,93
I10870,4,58,51,42,79
I10874,54,59,70,73,38
I10877,60,27,32,47,92
I10887,24,53,38,61,36
I10893,53,10,55,24,42
I10895,40,56,67,5,11
I10899,44,97,80,27,11
